id,name,variety,u,v,anchor
3,Grass,Single Blade,,,Right
3,Grass,Double Blade,18,,Right
3,Grass,Small Y,36,,Bottom
3,Grass,Three Small,54,,Right
3,Grass,Single Blade,72,,Left
3,Grass,Three Large,90,,Left
3,Flowers,Purple, Immature,108,,Left
3,Flowers,Pink, Immature,126,,Right
3,Mushroom,,144,,Bottom
4,Torch,On,,,Bottom
4,Torch,On,22,,Left
4,Torch,On,44,,Right
4,Torch,Off,66,,Bottom
4,Torch,Off,88,,Left
4,Torch,Off,110,,Right
4,Blue,On,,22,Bottom
4,Blue,On,22,22,Left
4,Blue,On,44,22,Right
4,Blue,Off,66,22,Bottom
4,Blue,Off,88,22,Left
4,Blue,Off,110,22,Right
4,Red,On,,44,Bottom
4,Red,On,22,44,Left
4,Red,On,44,44,Right
4,Red,Off,66,44,Bottom
4,Red,Off,88,44,Left
4,Red,Off,110,44,Right
4,Green,On,,66,Bottom
4,Green,On,22,66,Left
4,Green,On,44,66,Right
4,Green,Off,66,66,Bottom
4,Green,Off,88,66,Left
4,Green,Off,110,66,Right
4,Purple,On,,88,Bottom
4,Purple,On,22,88,Left
4,Purple,On,44,88,Right
4,Purple,Off,66,88,Bottom
4,Purple,Off,88,88,Left
4,Purple,Off,110,88,Right
4,White,On,,110,Bottom
4,White,On,22,110,Left
4,White,On,44,110,Right
4,White,Off,66,110,Bottom
4,White,Off,88,110,Left
4,White,Off,110,110,Right
4,Yellow,On,,132,Bottom
4,Yellow,On,22,132,Left
4,Yellow,On,44,132,Right
4,Yellow,Off,66,132,Bottom
4,Yellow,Off,88,132,Left
4,Yellow,Off,110,132,Right
4,Demon,On,,154,Bottom
4,Demon,On,22,154,Left
4,Demon,On,44,154,Right
4,Demon,Off,66,154,Bottom
4,Demon,Off,88,154,Left
4,Demon,Off,110,154,Right
4,Cursed,On,,176,Bottom
4,Cursed,On,22,176,Left
4,Cursed,On,44,176,Right
4,Cursed,Off,66,176,Bottom
4,Cursed,Off,88,176,Left
4,Cursed,Off,110,176,Right
4,Ice,On,,198,Bottom
4,Ice,On,22,198,Left
4,Ice,On,44,198,Right
4,Ice,Off,66,198,Bottom
4,Ice,Off,88,198,Left
4,Ice,Off,110,198,Right
4,Orange,On,,220,Bottom
4,Orange,On,22,220,Left
4,Orange,On,44,220,Right
4,Orange,Off,66,220,Bottom
4,Orange,Off,88,220,Left
4,Orange,Off,110,220,Right
4,Ichor,On,,242,Bottom
4,Ichor,On,22,242,Left
4,Ichor,On,44,242,Right
